seed,qubits,relative_rms_noise,sigma,algorithm,M,relative_l2_error,fit_ms,evaluation_256_ms,total_postprocessing_256_ms,data_generation_ms
20260727,4,0.029999999999999999,0.0074999999999999997,unconstrained,12,0.19082055266684839,0.075462360000000006,4.5431144999999997,4.6185768600000001,172.29490452333332
20260727,4,0.029999999999999999,0.0074999999999999997,polar_projected,12,0.18683492491110057,0.88970459999999996,4.7543546999999995,5.6440592999999994,172.29490452333332
20260727,4,0.029999999999999999,0.0074999999999999997,unitary_curve,12,0.18781416241413046,0.87356849999999997,38.684581666666666,39.558150166666664,172.29490452333332
20260727,4,0.0050000000000000001,0.00125,unconstrained,16,0.043149312170035342,0.1271813,5.7796329000000002,5.9068142000000003,163.94052886333336
20260727,4,0.0050000000000000001,0.00125,polar_projected,16,0.04242099091650018,1.1546075999999998,5.0401107999999999,6.1947183999999993,163.94052886333336
20260727,4,0.0050000000000000001,0.00125,unitary_curve,16,0.042552623811217646,1.0866015,35.90056666666667,36.98716816666667,163.94052886333336
20260727,4,0.01,0.0025000000000000001,unconstrained,16,0.08629903576681118,0.12975272999999998,4.9819072000000002,5.1116599300000001,163.94052886333336
20260727,4,0.01,0.0025000000000000001,polar_projected,16,0.084826724861542149,1.1313040000000001,5.6239023000000001,6.7552063000000002,163.94052886333336
20260727,4,0.01,0.0025000000000000001,unitary_curve,16,0.085089865110863291,1.1768186999999999,36.768117333333329,37.944936033333327,163.94052886333336
20260727,4,0.02,0.0050000000000000001,unconstrained,16,0.17261347526058279,0.12445133999999999,5.2962066999999999,5.4206580400000002,163.94052886333336
20260727,4,0.02,0.0050000000000000001,polar_projected,16,0.16959102661870185,1.1026754000000001,4.9885411,6.0912164999999998,163.94052886333336
20260727,4,0.02,0.0050000000000000001,unitary_curve,16,0.17011778922613374,1.1061524999999999,34.811394666666665,35.917547166666665,163.94052886333336
20260727,4,0.029999999999999999,0.0074999999999999997,unconstrained,16,0.25896821292438904,0.12615237000000001,4.8672295999999999,4.9933819699999997,163.94052886333336
20260727,4,0.029999999999999999,0.0074999999999999997,polar_projected,16,0.25428555558035787,1.2387007999999999,5.3577683,6.5964691000000002,163.94052886333336
20260727,4,0.029999999999999999,0.0074999999999999997,unitary_curve,16,0.25507935293351991,1.2602237000000001,39.624423,40.884646699999998,163.94052886333336
